Candidate,Coverage End Date,District,Elected?,Elected?1,Incumbent/ Challenger/Open,Party,Party Group,Representative,State,State Match,State Not Selected,Win?,Cash On Hand,Contributions  from Individuals,Contributions and Loans from   the Candidate,Contributions from PACs and Other Committees,Debts,Disbursements,Receipts,Replace Null With 0,sum receipts,Gender
"MACBAGITO, CHARLOTTE",3/31/2022,5,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,0,0,8220,0,8220,8220,8220,0,8220, Female
"STOVALL, VALENCIA",12/31/2022,5,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,2707.58,4030,6000,0,6000,7322.42,10030,0,10030, Female
"ZIMM, CHRISTIAN GERARD",12/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,10664.52,30178.28,42.86,5000,0,24556.62,35221.14,0,35221.14, Male
"CHRISTIAN, ROBERT FRANKLIN MR. III",11/28/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,-11094.73,58133.45,250220,0,245220,319048.18,308353.45,0,308353.45, Male
"EARLS, HAROLD",3/31/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,425511.87,0,6250,0,488639.39,488639.39,0,431761.87, Male
"EVANS, JAKE",6/30/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,1149344.59,809641.03,28650,0,1992683.62,1992683.62,0,1987635.62, Male
"GATEWOOD, BYRON",6/15/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,106651,0,0,0,106651,106651,0,106651, Male
"HANSON, MEAGAN MYERS",12/31/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,14292.17,471895.35,50827.31,15700,25939.06,525478.29,539770.46,0,538422.66, Female
"HARBIN, BLAKE",5/4/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,290394.32,17875.33,500000,0,250000,227211.73,517875.33,0,517875.33, Male
"MCCORMICK, RICHARD DEAN DR.",12/31/2022,6,TRUE,Yes,Challenger,Republican Party,Republican Party,"MCCORMICK, RICHARD DEAN DR.",Georgia,FALSE,TRUE,1,7907.15,3591826.71,404003.4,421001,262000,4658636.25,4636744.33,1,4416831.11, Male
"REUTER, KIMBERLY ANN CLARK",3/31/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,279,4506.06,0,0,3403.73,4227.06,4506.06,0,4506.06, Female
"SMITH, PAULETTE MISS",9/30/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,5597.2,50.45,6399.9,0,6399.9,2138.89,7721.09,0,6450.35, Female
"STAPLES, MARY MALLORY",10/14/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,543634.08,252782.37,2000,0,807367.67,807367.67,0,798416.45, Female
"VOYLES, SUSAN",9/30/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,265.38,130912.46,0,6250,0,136897.08,137162.46,0,137162.46, Female
"WELSH, ERIC MICHAEL",12/31/2021,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,29552,0,0,0,29594.86,29594.86,0,29552, Male
"WHITE, WAYNE C",6/3/2022,6,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,6136.7,5006,6761.76,0,6761.76,5673.96,11767.76,0,11767.76, Male
"YU, EUGENE",6/30/2022,6,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,-22666.62,13550.1,41000,0,60650,70672.38,54550.1,0,54550.1, Male
"WEST, MARY",12/31/2022,7,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,4767.01,47964.8,44596.13,1500,0,82610.92,94060.93,0,94060.93, Female
"BOURDEAUX, CAROLYN",12/31/2022,7,FALSE,No,Incumbent,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,3001.01,2945509.87,0,291501,0,3375738.56,3264791.79,0,3237010.87, Female
"MCBATH, LUCIA KAY MS.",12/31/2022,7,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"MCBATH, LUCIA KAY MS.",Georgia,FALSE,TRUE,1,734303.46,4767772.25,0,636839.64,0,5002336.18,5596710.62,1,5404611.89, Female
"BABBAGE, LISA NOEL DR.",12/31/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,138,8225,250,0,0,3196,8475,0,8475, Female
"CORBIN, MICHAEL",12/31/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,2754.76,12720,4977.34,0,100,17142.58,19797.34,0,17697.34, Male
"DESVIGNES, ELFREDA",3/31/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,27.86,2466.14,236.73,240,0,11877.43,6132.81,0,2942.87, Female
"GEORGE, YAHANSEH YG NYGHTSTORM",12/31/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,64650.91,0,0,0,64650.91,64650.91,0,64650.91, Male
"GONSALVES, MARK",12/31/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,2887.94,351671.68,200000,15691.9,0,564475.64,567363.58,0,567363.58, Male
"MCCOY, LISA",6/30/2022,7,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,-67.65,875,8862.13,0,0,10283.73,9737.13,0,9737.13, Female
"MCLEOD, DONNA THERESA MS.",8/31/2022,7,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,1961.54,69065.54,0,0,500,67604,69565.54,0,69065.54, Female
"SCOTT, JAMES AUSTIN",12/31/2022,8,TRUE,Yes,Incumbent,Republican Party,Republican Party,"SCOTT, JAMES AUSTIN",Georgia,FALSE,TRUE,1,730963.45,283599.72,0,544600,0,767855.97,832289.28,1,828199.72, Male
"BUTLER, DARRIUS MAURICE",6/30/2022,8,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,1225.16,16543.42,6000,0,6000,24160.05,22543.42,0,22543.42, Male
"COOPER, JAMES L III",12/31/2022,8,FALSE,No,Challenger,Green Party,Third Party,,Georgia,FALSE,TRUE,,1.13,425,410,0,1230,848.84,835,0,835, Male
"MOSLEY, MARK",12/31/2022,8,FALSE,No,Challenger,Libertarian Party,Third Party,,Georgia,FALSE,TRUE,,231.01,0,133.16,0,0,123.16,354.17,0,133.16, Male
"CLYDE, ANDREW",12/31/2022,9,TRUE,Yes,Incumbent,Republican Party,Republican Party,"CLYDE, ANDREW",Georgia,FALSE,TRUE,1,24805.35,557612.69,85000,125000,1262363.64,803250.88,819947.75,1,767612.69, Male
"FORD, MICHAEL C. MR.",12/8/2022,9,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,-13740.62,27139.7,5000,2200,0,38718.49,36015.7,0,34339.7, Male
"HOWARD, JON GREGORY",12/31/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,2273.03,729.3,9000,0,8639.25,7456.27,9729.3,0,9729.3, Male
"SOUTHER, BENJAMIN ODUM",6/30/2022,9,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,88515.22,8855,0,0,97571.7,97571.7,0,97370.22, Male
"ALVEY, ANDREW",4/18/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,-546.48,2123.36,50,0,0,2173.74,2173.36,0,2173.36, Male
"BARR, TIMOTHY",12/31/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,2128.06,603924.62,21144.6,39900,81168.77,662923.31,665051.37,0,664969.22, Male
"COLLINS, MICHAEL A JR",12/31/2022,10,TRUE,Yes,Open,Republican Party,Republican Party,"COLLINS, MICHAEL A JR",Georgia,FALSE,TRUE,1,197071.63,806062.39,531000,123100,286941.43,1270786.22,1467857.85,1,1460162.39, Male
"CURRY, DAVID",6/30/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,293174,415000,1500,0,709674,709674,0,709674, Male
"FORE, JESSICA ALLISON",12/31/2022,10,FALSE,No,Open,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,2987.7,16100,0,0,0,13112.3,16100,0,16100, Female
"HATCHER, PHYLLIS D",6/30/2022,10,FALSE,No,Open,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,-343.38,32510.24,2008,0,0,35361.62,35018.24,0,34518.24, Female
"HEUSSNER, TODD",9/30/2021,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,14145,0,2500,0,16645,16645,0,16645, Male
"JONES, VERNON",9/30/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,31.9,524057.39,0,8250,0,532489.09,532520.99,0,532307.39, Male
"MCMAIN, MARC",6/30/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,279048,388396.2,0,0,667444.2,667444.2,0,667444.2, Male
"RICHARDS, MATT",3/31/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,809.06,22600,305000,0,309666.93,326790.94,327600,0,327600, Male
"SIMS, ALAN",9/30/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,252508.43,446302.38,4000,0,703865.17,703865.17,0,702810.81, Male
"SWAN, MITCHELL",6/30/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,232288,66600,3100,0,301988,301988,0,301988,Male
"WITT, PATRICK J",6/3/2022,10,FALSE,No,Open,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,293954.1,239297,18000,0,553643.1,553643.1,0,551251.1,Male
"HICE, JODY*",12/31/2022,10,FALSE,No,Incumbent,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,2203.77,19420,0,5000,0,274132.42,26420,0,24420,Male
"BROUN, PAUL",12/31/2022,10,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,1364.6,501737.28,6153,26800,97638.88,534681.58,534697.16,0,534690.28,Male
"JOHNSON-GREEN, TABITHA",12/31/2022,10,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,0,10345.6,400,35955.07,400,48652.44,48652.44,0,46700.67,Female
"LOUDERMILK, BARRY",12/31/2022,11,TRUE,Yes,Incumbent,Republican Party,Republican Party,"LOUDERMILK, BARRY",Georgia,FALSE,TRUE,1,270089.15,313064.21,0,463790,0,898241.73,795499.29,1,776854.21,Male
"CANNON, BEAU ALEXANDER RYAN MR",6/30/2021,11,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,142.15,523,1000,0,1250,1630.85,1773,0,1523,Male
"DAVIS, ANGELA GRACE",4/15/2022,11,FALSE,No,Challenger,Independent,Third Party,,Georgia,FALSE,TRUE,,0,393.25,344.92,0,0,738.17,738.17,0,738.17,Female
"DAZA-FERNANDEZ, ANTONIO MIGUEL",11/28/2022,11,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,72.74,87106.81,12000,3000,12000,102104.07,102176.81,0,102106.81,Male
"KILPATRICK, HEATHER",9/30/2021,11,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,5449.72,37396.12,3234.75,0,3234.75,35315.9,40765.62,0,40630.87,Female
"ALLEN, RICHARD W",12/31/2022,12,TRUE,Yes,Incumbent,Republican Party,Republican Party,"ALLEN, RICHARD W",Georgia,FALSE,TRUE,1,859244.31,656840.22,0,326500,1125000,778377.83,990712.76,1,983340.22,Male
"JOHNSON, ELIZABETH",12/31/2022,12,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,812.98,184033.82,350,9000,9883.1,193938.25,194751.23,0,193383.82,Female
"SCOTT, DAVID ALBERT",12/31/2022,13,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"SCOTT, DAVID ALBERT",Georgia,FALSE,TRUE,1,636609.93,316678.01,250,1690525,27100,1833004.1,2007965.55,1,2007453.01,Male
"BAKER, MARK",12/31/2022,13,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,3772.76,15085,107000,0,107000,118944.24,122085,0,122085,Male
"COWEN, MARTIN LINDSEY MR. III",1/19/2022,13,FALSE,No,Challenger,Libertarian Party,Third Party,,Georgia,FALSE,TRUE,,0,0,2787.27,0,0,2868.83,2789.31,0,2787.27,Male
"FORT, VINCENT",5/4/2022,13,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,20718.9,74527.71,0,5550,3416.66,66208.81,86927.71,0,80077.71,Male
"GONZALES, CAESAR",10/19/2022,13,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,600.91,13692.7,2000,0,2524.31,18511.88,19033.64,0,15692.7,Male
"HAWKINS, DOMINIKA",3/31/2022,13,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,300,5220,0,0,5520,5520,0,5520,Female
"PLOTKY, CALINA",12/31/2022,13,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,2687.34,15934,4000,0,4000,17246.66,19934,0,19934,Female
"GREENE, MARJORIE TAYLOR MRS.",12/31/2022,14,TRUE,Yes,Incumbent,Republican Party,Republican Party,"GREENE, MARJORIE TAYLOR MRS.",Georgia,FALSE,TRUE,1,1958194.38,12307019.18,0,48950,950000,11001460.9,12588124.11,1,12355969.18,Female
"CLAY, MARK DANIEL",1/30/2022,14,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,6000,0,0,0,6000,6000,0,6000,Male
"CONNER, LATEEFAH B.",3/31/2022,14,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,0,49092.16,60352.51,0,11063.89,98223.59,109444.67,0,109444.67,Female
"CUNNINGHAM, ERIC B",5/4/2022,14,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,2351.66,1656.04,0,0,3909.79,2261.94,1656.04,0,1656.04,Male
"DAVIS, WENDY",6/30/2022,14,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,0,497550.04,4985.13,21500,0,524060.17,524060.17,0,524035.17,Female
"FLOWERS, MARCUS",12/31/2022,14,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,623323.4,16877851.42,18100,23135,0,16349414.34,16972737.74,0,16919086.42,Male
"HAYGOOD, WALTER JAMES",12/31/2022,14,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,674.55,3110,12048.9,0,12048.9,14484.35,15158.9,0,15158.9,Male
"LUTIN, CHARLES DAVID DOCTOR",9/30/2022,14,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,0,20592.28,6125,0,0,26717.28,26717.28,0,26717.28,Male
"MCCORMACK, HOLLY",6/30/2022,14,FALSE,No,Challenger,Democratic Party,Democratic Party,,Georgia,FALSE,TRUE,,18631.57,1889937.75,0,1000,78558.53,1874401.17,1893032.74,0,1890937.75,Female
"PENCE, ANGELA",3/31/2022,14,FALSE,No,Challenger,Libertarian Party,Third Party,,Georgia,FALSE,TRUE,,2125.59,4513.96,0,0,0,4410.58,6859.79,0,4513.96,Female
"STRAHAN, JENNIFER",12/31/2022,14,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,21905.33,363093.49,2900,69000,0,413088.16,434993.49,0,434993.49,Female
"SYNSTELIEN, SETH",12/31/2022,14,FALSE,No,Challenger,Republican Party,Republican Party,,Georgia,FALSE,TRUE,,80.36,4907.76,6437.72,0,0,11265.12,11345.48,0,11345.48,Male
"SAN NICOLAS, MICHAEL F.Q. MR.",12/31/2022,0,FALSE,No,Incumbent,Democratic Party,Democratic Party,,Guam,FALSE,TRUE,,15610.85,11550,0,2975,14303.57,19778.48,14525,0,14525,Male
"MOYLAN, JAMES C.",12/31/2022,0,TRUE,Yes,Challenger,Republican Party,Republican Party,"MOYLAN, JAMES C.",Guam,FALSE,TRUE,1,1226.58,110234.62,100,0,0,109641.16,115334.62,1,110334.62,Male
"NELSON, TELENA C.",12/31/2022,0,FALSE,No,Challenger,Democratic Party,Democratic Party,,Guam,FALSE,TRUE,,96.16,18845,0,0,0,18748.84,18845,0,18845,Female
"PAT, JUDITH T WON",11/28/2022,0,FALSE,No,Challenger,Democratic Party,Democratic Party,,Guam,FALSE,TRUE,,-19117.61,94802.49,0,0,-15000,88547.3,99229.99,0,94802.49,Female
"CASE, EDWARD",12/31/2022,1,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"CASE, EDWARD",Hawaii,FALSE,TRUE,1,507530.31,495273.57,0,563000,0,667444.59,1058273.57,1,1058273.57,Male
"ALCUBILLA, SERGIO JOSEPHUS MR. III",6/30/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Hawaii,FALSE,TRUE,,6128.62,107081.26,0,0,0,101128.64,107257.26,0,107081.26,Male
"KRESS, CONRAD",12/31/2022,1,FALSE,No,Challenger,Republican Party,Republican Party,,Hawaii,FALSE,TRUE,,0,77925.44,3184.26,1056,0,82409.58,82409.58,0,82165.7,Male
"BRANCO, PATRICK PIHANA",9/30/2022,2,FALSE,No,Open,Democratic Party,Democratic Party,,Hawaii,FALSE,TRUE,,0,119818.51,1920.59,64000,0,185979.32,185979.32,0,185739.1,Male
"TOKUDA, JILL NAOMI",12/31/2022,2,TRUE,Yes,Open,Democratic Party,Democratic Party,"TOKUDA, JILL NAOMI",Hawaii,FALSE,TRUE,1,200736.04,746702.33,25000,219700,0,841651.22,1042387.26,1,991402.33,Female
"WATERS, TOMMY",5/27/2022,2,FALSE,No,Open,Democratic Party,Democratic Party,,Hawaii,FALSE,TRUE,,16.81,5800,5000,0,0,10783.19,10800,0,10800,Male
"WEBSTER, JOSEPH E.",9/30/2022,2,FALSE,No,Open,Republican Party,Republican Party,,Hawaii,FALSE,TRUE,,0,2167,60305.66,0,0,62472.86,62472.86,0,62472.66,Male
"KAHELE, KAIALI'I*",12/31/2022,2,FALSE,No,Incumbent,Democratic Party,Democratic Party,,Hawaii,FALSE,TRUE,,1727.17,215242.74,0,298500,0,709995.45,518336.73,0,513742.74,Male
"AKANA, JOSEPH",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Hawaii,FALSE,TRUE,,-1052.3,25325.6,45665,0,52800,70545.33,71641.86,0,70990.6,Male
"GI, NICOLE",9/30/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Hawaii,FALSE,TRUE,,3539.55,325,12000,0,12000,8785.45,12325,0,12325,Female
"FULCHER, RUSSELL",12/31/2022,1,TRUE,Yes,Incumbent,Republican Party,Republican Party,"FULCHER, RUSSELL",Idaho,FALSE,TRUE,1,169286.81,239183.48,0,288350,0,470475.85,536931.86,1,527533.48,Male
"LENNEY, BRIAN",10/12/2021,1,FALSE,No,Challenger,Republican Party,Republican Party,,Idaho,FALSE,TRUE,,0,2675,3316.21,0,0,5991.21,5991.21,0,5991.21,Male
"PETERSON, KAYLEE JADE",12/31/2022,1,FALSE,No,Challenger,Democratic Party,Democratic Party,,Idaho,FALSE,TRUE,,2708.74,66125.36,20,3444.92,0,67139.54,69848.28,0,69590.28,Female
"SIMPSON, MICHAEL",12/31/2022,2,TRUE,Yes,Incumbent,Republican Party,Republican Party,"SIMPSON, MICHAEL",Idaho,FALSE,TRUE,1,138400.45,528866.84,0,1094740,0,1661520.3,1623606.84,1,1623606.84,Male
"NORMAN, WENDY ANN",12/31/2022,2,FALSE,No,Challenger,Democratic Party,Democratic Party,,Idaho,FALSE,TRUE,,2230.25,12500,0,1205,0,11626.22,13856.48,0,13705,Female
"SMITH, BRYAN",12/31/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Idaho,FALSE,TRUE,,13444.65,343589.41,536678.26,4000,500000,884019.94,897464.59,0,884267.67,Male
"BUTLER, CHRISTOPHER",12/31/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,-1135.48,144865.72,0,0,2500,148501.2,144865.72,0,144865.72,Male
"CARLSON, ERIC JOSEPH MR.",10/19/2022,1,FALSE,No,Open,Republican Party,Republican Party,,Illinois,FALSE,TRUE,,482.17,150,5746.21,0,1100,5250.33,5896.21,0,5896.21,Male
"COLE, JAHMAL",6/30/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,1582.27,155402,100,0,100,156064.48,157646.75,0,155502,Male
"COLLINS, JACQUELINE",12/31/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,532.67,202372,26275,23500,26175,251614.33,252147,0,252147,Female
"DOWELL, PATRICIA R",6/30/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,167406.11,570749.7,0,0,0,459269.38,577749.7,0,570749.7,Female
"GOODRUM, CASSANDRA ATTORNEY",6/30/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,12204.32,7622,30050,0,13050,25942.68,37672,0,37672,Female
"JACKSON, JONATHAN",12/31/2022,1,TRUE,Yes,Open,Democratic Party,Democratic Party,"JACKSON, JONATHAN",Illinois,FALSE,TRUE,1,1103.2,551295.5,75000,131870,110736.18,792115.44,793218.64,1,758165.5,Male
"MATTHEWS, AMEENA",6/30/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,41.7,32644.41,1250,0,1250,33852.71,33894.41,0,33894.41,Female
"NIX, DARIUS YOREL DEE",12/31/2021,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,2543.25,2207,1000,0,1300,2184.4,4655.8,0,3207,Male
"NORINGTON-REAVES, KARIN M",7/31/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,1190.02,468582.7,0,78500,0,548413.84,549603.86,0,547082.7,Female
"PIPPION MCGRIFF, NYKEA",12/31/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,95.83,102192.31,3288,7750,0,113273.83,113230.31,0,113230.31,Female
"ROSNER, TERRE LAYNG",7/7/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,0,14195.13,0,500,0,16606.13,16606.13,0,14695.13,Female
"SPAULDING, STEPHANY ROSE",9/30/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,0,59348.79,57075.94,0,0,116875.06,116875.06,0,116424.73,Female
"SWAIN, JONATHAN",12/31/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,5703.19,491624.11,78671.96,0,136650.16,570734.88,576438.07,0,570296.07,Male
"TAYLOR, KIRBY JEROME BIRGANS- MR.",6/8/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,43.09,5770.18,5874.22,0,10874.22,16601.31,16644.4,0,11644.4,Male
"THOMPSON, MICHAEL ANTHONY",6/30/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,1780.97,37071,10,0,0,35210.03,37081,0,37081,Male
"WHITE, PHILANISE",12/31/2022,1,FALSE,No,Open,Republican Party,Republican Party,,Illinois,FALSE,TRUE,,-1950,5653,0,0,0,4180.81,5653,0,5653,Female
"WILLIAMS, CHARISE A",12/31/2022,1,FALSE,No,Open,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,2405.72,163255.61,0,0,0,158349.89,163255.61,0,163255.61,Female
"RUSH, BOBBY LEE*",12/31/2022,1,FALSE,No,Incumbent,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,0,39442.71,0,179750.01,18784.54,333121.27,221500.62,0,219192.72,Male
"KELLY, ROBIN",12/31/2022,2,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"KELLY, ROBIN",Illinois,FALSE,TRUE,1,1447164.73,669811.89,0,1063050,0,1313357.52,1746109.48,1,1732861.89,Female
"RAMOS, ASHLEY",6/30/2022,2,FALSE,No,Challenger,Republican Party,Republican Party,,Illinois,FALSE,TRUE,,0,1568,2835,0,2806.33,4403,4403,0,4403,Female
"AGUIRRE, JUAN ENRIQUE",3/31/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,420,5936,5236.05,0,0,10752.05,11172.05,0,11172.05,Male
"BURAU, JUSTIN",10/19/2022,3,FALSE,No,Challenger,Republican Party,Republican Party,,Illinois,FALSE,TRUE,,2274.2,20362.61,5476.05,2354.23,4361.18,25999.79,28273.99,0,28192.89,Male
"CHEHADE, IYMEN",12/31/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,-886.56,156838.78,2500,0,0,156601.82,159339.97,0,159338.78,Male
"RAMIREZ, DELIA",12/31/2022,3,TRUE,Yes,Challenger,Democratic Party,Democratic Party,"RAMIREZ, DELIA",Illinois,FALSE,TRUE,1,118702.33,639890.84,15,339546,0,871494.95,990197.28,1,979451.84,Female
"VILLEGAS, GILBERT",9/30/2022,3,FALSE,No,Challenger,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,9669.36,1037249.79,0,100150,0,1128995.99,1138665.35,0,1137399.79,Male
"GARCIA, JESUS",12/31/2022,4,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"GARCIA, JESUS",Illinois,FALSE,TRUE,1,25024.79,458864.49,0,445500,0,1040691.1,938958.69,1,904364.49,Male
"HERSHEY, EDWARD",6/30/2022,4,FALSE,No,Challenger,Other,Third Party,,Illinois,FALSE,TRUE,,20,972,89,0,0,1041,1061,0,1061,Male
"QUIGLEY, MIKE",12/31/2022,5,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"QUIGLEY, MIKE",Illinois,FALSE,TRUE,1,1185460.34,305123.56,0,748500,0,890515.2,1053627.4,1,1053623.56,Male
"BOWMAN, RALEIGH",12/31/2022,5,FALSE,No,Challenger,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,-251.07,4358.74,1514,0,0,6297.67,6433.75,0,5872.74,Male
"HANSON, TOMMY",12/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,Illinois,FALSE,TRUE,,2045.88,10270,18000,0,18000,26617.42,28663.3,0,28270,Male
"HUYNH, KHAI-HOAN DAC",4/15/2022,5,FALSE,No,Challenger,Democratic Party,Democratic Party,,Illinois,FALSE,TRUE,,0,49766.33,24771.05,0,0,74537.38,74537.38,0,74537.38,Male
"MCGONIGAL, MALGORZATA",12/31/2022,5,FALSE,No,Challenger,Republican Party,Republican Party,,Illinois,FALSE,TRUE,,0,11185,5100,0,0,20018.82,23148.51,0,16285,Female
"CASTEN, SEAN",12/31/2022,6,TRUE,Yes,Incumbent,Democratic Party,Democratic Party,"CASTEN, SEAN",Illinois,FALSE,TRUE,1,54416.17,4405254.47,0,1131362.13,75694.37,5869181.71,5577460.28,1,5536616.6,Male
